BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,TITULARES,25,JUAN CARLOS BEICA,M,68
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,TITULARES,26,ISABEL MORALES,F,44
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,TITULARES,27,EDUARDO FABIAN ESPEJO,M,58
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,TITULARES,28,MARIA FLORENCIA RODRIGUEZ,F,39
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,TITULARES,29,MARCELO DANIEL GONZALEZ,M,59
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,TITULARES,30,MALENA GARCIA BARCELO,F,25
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,TITULARES,31,JORGE SEBASTIAN GODOY,M,45
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,TITULARES,32,NADIA GISELLE ALESSANDRELLI,F,33
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,TITULARES,33,MATIAS TOMASELLO,M,43
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,TITULARES,34,ROCIO JIMENA ROBLES,F,33
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,TITULARES,35,FACUNDO MARTIN PILARCHE,M,41
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,SUPLENTES,1,ANA LAURA AGUILERA,F,40
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,SUPLENTES,2,DUILIO VICENTE PETRUNGARO,M,51
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,SUPLENTES,3,LILIANA VERONICA VERA IBAÑEZ,F,47
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,SUPLENTES,4,PABLO MARTIN TAVOLARO,M,48
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,SUPLENTES,5,NORA BIAGGIO,F,71
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,SUPLENTES,6,ARIEL MARCELO SOMER,M,46
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,SUPLENTES,7,MARIA CELESTE SCHMIDT,F,28
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,SUPLENTES,8,ALEJANDRO DAMIÁN VILLARREAL,M,40
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,SUPLENTES,9,FERNANDA GABRIELA CAPURRO,F,47
BUENOS AIRES,FRENTE DE IZQUIERDA Y DE TRABAJADORES,DIPUTADOS NACIONALES,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,SUPLENTES,10,GUSTAVO ADOLFO MICHEL,M,44
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,1,CRISTIAN ADRIAN RITONDO,M,57
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,2,KARINA VERONICA BANFI,F,51
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,3,MIGUEL ANGEL PICHETTO,M,73
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,4,SILVIA GABRIELA LOSPENNATO,F,46
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,5,NICOLAS MARIA MASSOT,M,39
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,6,PATRICIA MARIA VASQUEZ,F,65
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,7,PABLO ADRIAN JULIANO,M,35
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,8,MONICA EDITH FRADE,F,65
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,9,MARTIN IVAN YEZA,M,37
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,10,MARIA LORENA PETROVICH,F,44
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,11,FEDERICO LUIS SUAREZ,M,45
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,12,MARIANA STILMAN,F,48
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,13,SEBASTIAN NICOLAS SALVADOR,M,46
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,14,FELICITAS BECCAR VARELA,F,47
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,15,EMILIANO GIRI,M,49
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,16,IVANA ANDREA CORONEL,F,36
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,17,ALBERTO EMILIO ASSEFF,M,81
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,18,MARIA DE LAS MERCEDES JOURY,F,41
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,19,MARCELO OMAR GARCIA,M,52
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,20,JULIETA ELISABET QUINTERO CHASMAN,F,32
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,21,PABLO TORELLO,M,64
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,22,SANDRA SILVINA PARIS,F,58
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,23,EVERT IGNACIO VAN TOOREN,M,44
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,24,GRACIELA NORMA DEVITA,F,70
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,25,RICARDO JOSE STODDART,M,54
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,26,MONICA ESTHER FELICES,F,64
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,27,DAVID AXEL COHEN,M,43
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,28,MYRIAM JOSEFINA DE LA MERCED PUCHETA,F,52
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,29,GONZALO MARTIN PELUSO,M,50
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,30,MARIA FLORENCIA PEREZ,F,29
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,31,HERNAN ARIEL ARCE,M,41
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,32,MARIA FLORENCIA BUSILACHI CRAPAROTTA,F,34
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,33,JUAN CARLOS JUAREZ,M,62
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,34,MARIA FLORENCIA ZALLIO,F,47
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,TITULARES,35,DIEGO GASTON VILLAMAYOR,M,45
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,SUPLENTES,1,FERNANDA MARIA DEL R IVELI,F,61
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,SUPLENTES,2,WALTER ALEJANDRO DI GIUSEPPE,M,55
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,SUPLENTES,3,MARIA PAULA UHALDE,F,45
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,SUPLENTES,4,MARCELO JAVIER DIAZ,M,58
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,SUPLENTES,5,SILVIA BEATRIZ MANZO,F,58
BUENOS AIRES,JUNTOS POR EL CAMBIO,DIPUTADOS NACIONALES,JUNTOS POR EL CAMBIO,SUPLENTES,6,MARINO ALEJANDRO CID APARICIO,M,65
